date,dark academia,cottagecore,y2k fashion,quiet luxury,goblincore,coquette aesthetic,fairycore,baddie aesthetic,coastal grandmother,gorpcore,indie sleaze,soft girl aesthetic,grunge aesthetic,kawaii fashion,hypebeast,light academia,craftcore,cyberpunk fashion,balletcore,streetwear
2018-01-01,1,0,0,0,0,0,0,1,0,1,0,0,4,1,88,0,0,0,0,30
2018-02-01,1,0,0,1,0,0,0,1,0,1,0,0,5,1,100,0,0,0,0,31
2018-03-01,1,0,0,0,0,0,0,1,0,1,0,0,5,1,100,0,0,0,0,32
2018-04-01,1,0,0,1,0,0,0,1,0,0,0,0,5,1,85,0,0,0,0,29
2018-05-01,2,0,0,1,0,0,0,2,0,0,0,0,5,1,74,0,0,0,0,26
2018-06-01,2,0,0,1,0,0,0,2,0,0,0,0,5,1,76,0,0,0,0,26
2018-07-01,2,0,0,0,0,0,0,2,0,0,0,0,6,1,68,0,1,0,0,29
2018-08-01,2,0,0,0,0,0,0,2,0,1,0,0,6,1,69,0,0,0,0,31
2018-09-01,2,0,0,0,0,0,0,2,0,1,0,0,5,1,71,0,0,0,0,31
2018-10-01,1,0,0,0,0,0,0,2,0,1,0,0,5,1,69,0,0,0,0,32
2018-11-01,1,0,0,0,0,0,0,2,0,1,0,0,6,1,72,0,0,0,0,32
2018-12-01,2,0,0,0,0,0,0,2,0,0,0,0,6,1,68,0,0,0,0,33
2019-01-01,1,0,0,0,0,0,0,2,0,1,0,0,6,1,64,0,0,0,0,29
2019-02-01,1,0,0,0,0,0,0,3,0,1,0,0,6,1,62,0,0,0,0,28
2019-03-01,1,0,0,0,0,0,0,3,0,1,0,0,6,1,61,0,0,0,0,30
2019-04-01,1,1,0,1,0,0,0,3,0,1,0,1,6,1,57,0,0,0,0,28
2019-05-01,2,0,1,0,0,0,0,3,0,0,0,1,7,1,57,0,0,0,0,29
2019-06-01,2,1,1,0,0,0,0,4,0,0,0,1,7,1,60,0,1,0,0,29
2019-07-01,2,1,1,0,0,0,0,4,0,0,0,2,8,1,57,0,0,0,0,32
2019-08-01,2,1,1,0,0,0,0,4,0,0,0,2,8,1,58,0,0,0,0,32
2019-09-01,3,1,1,0,0,0,0,4,0,1,0,3,8,1,58,0,0,0,0,32
2019-10-01,3,0,1,0,0,0,0,4,0,1,0,3,7,1,54,0,0,0,0,31
2019-11-01,3,1,1,0,0,0,0,4,0,1,0,3,8,1,59,0,0,0,0,33
2019-12-01,3,1,1,0,0,0,0,5,0,1,0,3,9,1,60,0,0,0,0,36
2020-01-01,4,3,1,0,1,0,0,7,0,2,0,3,9,1,55,1,0,0,0,33
2020-02-01,8,6,1,0,1,0,1,10,0,0,0,4,11,1,55,1,1,0,0,33
2020-03-01,9,9,1,0,1,0,1,16,0,0,0,4,13,1,59,1,0,0,0,30
2020-04-01,9,16,1,0,1,0,1,23,0,0,0,6,15,1,55,1,0,0,0,35
2020-05-01,12,20,2,0,2,0,2,21,0,1,0,4,14,1,51,1,0,0,0,34
2020-06-01,12,35,3,0,2,0,3,20,0,1,0,5,15,1,45,1,0,0,0,39
2020-07-01,18,58,5,0,3,0,4,25,0,1,0,6,17,1,49,1,0,0,0,41
2020-08-01,18,62,6,0,3,0,4,29,0,1,0,6,16,1,41,1,0,0,0,42
2020-09-01,31,47,5,0,3,0,4,100,0,1,0,7,24,1,48,2,0,0,0,40
2020-10-01,37,39,4,0,2,0,3,42,0,1,0,5,17,1,38,2,0,0,0,38
2020-11-01,50,100,5,0,2,0,5,40,0,1,0,6,18,2,32,3,0,0,0,40
2020-12-01,67,61,5,0,3,0,6,41,0,1,0,7,19,1,34,4,0,1,0,39
2021-01-01,78,73,6,0,4,0,14,43,0,3,0,7,19,2,31,5,0,1,0,40
2021-02-01,58,68,6,0,4,0,18,32,0,2,0,5,16,1,27,4,0,0,0,38
2021-03-01,46,76,6,0,5,0,21,29,0,2,0,5,15,1,27,4,0,0,0,37
2021-04-01,39,76,7,0,5,0,21,27,0,3,0,5,14,1,25,3,0,0,0,36
2021-05-01,37,67,7,1,5,0,21,25,0,2,0,5,16,1,24,3,0,0,0,36
2021-06-01,33,67,9,1,4,0,22,22,0,1,0,4,14,1,22,3,0,0,0,36
2021-07-01,42,70,11,1,5,1,29,22,0,2,0,4,17,1,22,4,0,0,0,40
2021-08-01,48,61,10,1,5,1,32,20,0,2,0,4,18,1,25,4,0,0,0,41
2021-09-01,44,65,14,1,5,1,31,20,0,4,0,3,16,1,23,3,0,0,0,38
2021-10-01,43,55,12,1,4,1,28,18,0,3,0,4,15,1,21,3,0,0,0,37
2021-11-01,42,50,9,0,4,3,33,16,0,4,0,3,17,1,24,3,0,0,0,39
2021-12-01,41,51,9,1,5,8,34,18,0,5,0,3,17,1,28,3,0,0,0,41
2022-01-01,46,62,10,1,5,9,34,18,0,8,2,3,15,1,37,4,0,0,0,42
2022-02-01,39,51,10,1,4,9,30,15,0,7,1,3,14,1,27,4,0,0,0,40
2022-03-01,42,55,12,1,4,10,27,14,0,7,1,3,12,1,23,3,0,0,0,41
2022-04-01,39,57,12,1,5,12,27,15,13,6,1,3,13,1,25,4,0,0,0,43
2022-05-01,35,54,13,1,4,13,26,13,21,6,1,3,12,1,22,4,0,0,0,37
2022-06-01,34,50,13,1,4,13,24,12,22,7,1,3,11,1,21,3,0,0,0,37
2022-07-01,36,48,15,1,4,14,24,10,22,10,1,3,12,1,21,3,0,0,0,38
2022-08-01,42,45,17,1,4,14,21,9,17,13,1,2,12,1,22,3,0,0,0,40
2022-09-01,47,39,15,1,3,13,19,11,7,31,2,2,12,1,20,3,0,1,0,39
2022-10-01,40,39,14,1,3,11,18,9,5,30,2,2,12,1,19,2,0,1,0,40
2022-11-01,38,34,13,1,4,11,17,8,3,34,1,2,10,1,17,3,0,0,0,41
2022-12-01,42,36,13,1,4,15,15,8,3,30,1,2,10,1,19,3,0,0,0,43
2023-01-01,39,40,14,1,4,17,19,8,4,36,1,2,11,1,17,3,0,0,1,42
2023-02-01,35,40,16,1,4,14,20,8,3,35,1,2,10,1,19,2,0,0,1,39
2023-03-01,31,37,14,2,4,13,18,8,4,38,1,2,8,1,15,2,0,0,1,42
2023-04-01,24,38,15,11,5,14,21,6,4,27,1,2,7,1,15,2,0,0,1,40
2023-05-01,23,34,13,13,3,12,18,6,4,22,1,2,7,1,14,2,0,0,0,37
2023-06-01,24,34,14,13,3,12,18,9,5,19,1,2,8,1,16,2,0,0,0,35
2023-07-01,24,33,14,10,3,11,17,6,5,19,1,2,8,1,15,2,0,0,1,37
