aesthetic,topic,family_label,x,y
Abstract Tech,38,Grid / Design / Laser,7.650775,7.671123
Academia,11,Academia / Dark Academia / Dark,8.403181,4.7145386
Acid Design,0,Aesthetic / Fashion / Like,6.5168777,10.097082
Acid House,0,Aesthetic / Fashion / Like,6.475951,10.229423
Acubi,-1,Outlier,4.1082506,8.471211
Adventure Pulp,-1,Outlier,7.886374,6.8575997
Adventurecore,-1,Outlier,6.4058447,6.0291963
Aesthetic Rap,-1,Outlier,5.501858,9.053254
Aestheticism,1,Art / Movement / Architecture,10.41699,8.416006
Aesthetics 101,29,Aesthetics / Wiki / Aesthetic,8.6115465,8.327676
Aetherpunk,5,Dieselpunk / Fiction / Aesthetic,6.9594603,6.4906874
Afrofuturism,-1,Outlier,8.382702,10.270199
Afropunk,-1,Outlier,8.174537,10.322222
After Hours,-1,Outlier,6.732247,6.675122
Agejo,2,Japanese / Bodikon / Women,1.6952704,7.5791316
Aggrotech,14,Industrial / Ebm / Gabber,6.5223994,11.419265
Ah Beng,23,Chonga / Abg / Ah,4.4176807,8.696876
Akibapop,2,Japanese / Bodikon / Women,1.3905692,6.261712
Aliencore,-1,Outlier,7.0702467,7.6915016
Aliyahcore,-1,Outlier,4.259447,8.355503
Alternative,31,Hipster / Punk / Filehipster,6.5494204,9.646887
Amekaji,2,Japanese / Bodikon / Women,1.3167126,7.617205
American Kitsch,17,Kitsch / Burlesque / Vegas,8.747329,9.532728
American Pioneers,18,Indigenous / American / Black,8.659158,9.995276
American Thanksgiving,32,Christmas / Halloween / Colors,8.721676,6.1571507
Americana,18,Indigenous / American / Black,8.624614,9.915501
Analog Horror,13,Horror / Catholic / Supernatural,8.165682,6.061032
Anarcho-Punk,-1,Outlier,6.0339375,9.919155
Ancient Egypt,1,Art / Movement / Architecture,10.2137785,7.7679653
Androgynous,30,Women / Men / Hair,3.7816503,7.856875
Angelcore,-1,Outlier,7.322581,7.0987134
Anglo Gothic,0,Aesthetic / Fashion / Like,7.4444575,11.071738
Angura Kei,-1,Outlier,1.6245042,6.941019
